0,"{'up': None, 'down': None, 'north': 6, 'south': 7, 'east': 1, 'west': None}"
1,"{'up': None, 'down': None, 'north': 8, 'south': 9, 'east': 2, 'west': 0}"
2,"{'up': None, 'down': None, 'north': 10, 'south': 11, 'east': 3, 'west': 1}"
3,"{'up': None, 'down': None, 'north': 17, 'south': 12, 'east': 2, 'west': None}"
4,"{'up': None, 'down': None, 'north': 13, 'south': 14, 'east': 5, 'west': None}"
5,"{'up': None, 'down': None, 'north': 15, 'south': 16, 'east': 17, 'west': 4}"
6,"{'up': 'q1', 'down': 'q1', 'north': None, 'south': 0, 'east': None, 'west': None}"
7,"{'up': 'q2', 'down': 'q2', 'north': None, 'south': 0, 'east': None, 'west': None}"
8,"{'up': 'q3', 'down': 'b8', 'north': None, 'south': 1, 'east': None, 'west': None}"
9,"{'up': 'q5', 'down': 'q5', 'north': None, 'south': 1, 'east': None, 'west': None}"
10,"{'up': 'q6', 'down': 'b10', 'north': 2, 'south': None, 'east': None, 'west': None}"
11,"{'up': 'q7', 'down': 'b11', 'north': 2, 'south': None, 'east': None, 'west': None}"
12,"{'up': 'q8', 'down': 'b12', 'north': 3, 'south': None, 'east': None, 'west': None}"
13,"{'up': 'b8', 'down': 'q3', 'north': 4, 'south': None, 'east': None, 'west': None}"
14,"{'up': 'b10', 'down': 'q6', 'north': 4, 'south': None, 'east': None, 'west': None}"
15,"{'up': 'b11', 'down': 'q7', 'north': 5, 'south': None, 'east': None, 'west': None}"
16,"{'up': 'b12', 'down': 'q8', 'north': 5, 'south': None, 'east': None, 'west': None}"
17,"{'up': None, 'down': None, 'north': 5, 'south': 3, 'east': None, 'west': None}"
