Row Number,Y Count
1,1
2,0
3,0
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,1
207,2
208,0
209,1
210,0
211,1
212,0
213,2
214,0
215,2
216,0
217,1
218,0
219,1
220,2
221,1
222,2
223,0
224,1
225,2
226,0
227,1
228,0
229,1
230,0
231,2
232,0
233,1
234,2
235,0
236,1
237,2
238,1
239,2
240,0
241,2
242,0
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,1
252,2
253,1
254,2
255,0
256,2
257,0
258,1
259,2
260,0
261,2
262,0
263,1
264,2
265,0
266,2
267,0
268,1
269,0
270,1
271,2
272,1
273,2
274,1
275,2
276,1
277,2
278,1
279,2
280,0
281,2
282,0
283,1
284,0
285,1
286,2
287,0
288,1
289,1
290,2
291,1
292,1
293,2
294,1
295,2
296,1
297,2
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,2
309,1
310,2
311,1
312,2
313,1
314,1
315,2
316,1
317,3
318,2
319,0
320,3
321,2
322,3
323,2
324,0
325,2
326,0
327,3
328,0
329,3
330,0
331,3
332,0
333,3
334,0
335,3
336,2
337,3
338,2
339,0
340,2
341,0
342,3
343,2
344,0
345,2
346,0
347,3
348,2
349,0
350,2
351,0
352,3
353,0
354,3
355,2
356,3
357,2
358,3
359,2
360,3
361,2
362,3
363,2
364,0
365,2
366,0
367,3
368,0
369,3
370,2
371,0
372,3
373,1
374,2
375,1
376,1
377,2
378,1
379,2
380,1
381,2
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,2
393,1
394,2
395,1
396,2
397,1
398,1
399,2
400,1
401,1
402,0
403,2
404,1
405,0
406,1
407,0
408,2
409,0
410,2
411,1
412,2
413,1
414,2
415,1
416,2
417,1
418,2
419,1
420,0
421,1
422,0
423,2
424,0
425,2
426,1
427,0
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,0
458,2
459,1
460,0
461,2
462,0
463,2
464,1
465,2
466,1
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,0
476,2
477,0
478,2
479,1
480,2
481,1
482,0
483,2
484,1
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,2
513,1
514,8
515,1
516,8
517,1
518,6
519,1
520,6
521,8
522,6
523,8
524,6
525,8
526,6
527,8
528,1
529,8
530,1
531,6
532,1
533,6
534,1
535,6
536,6
537,6
538,6
539,6
540,1
541,6
542,1
543,6
544,1
545,6
546,1
547,6
548,1
549,6
550,6
551,6
552,6
553,1
554,6
555,1
556,6
557,0
558,4
559,5
560,5
561,5
562,5
563,5
564,1
565,5
566,1
567,5
568,5
569,5
570,1
571,5
572,1
573,5
574,5
575,1
576,5
577,5
578,1
579,5
580,1
581,5
582,5
583,5
584,5
585,1
586,5
587,1
588,5
589,3
590,1
591,1
592,3
593,1
594,1
595,3
596,1
597,1
598,3
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,3
608,1
609,1
610,3
611,1
612,3
613,1
614,3
615,1
616,1
617,3
618,1
619,1
620,2
621,1
622,2
623,1
624,2
625,1
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,1
635,2
636,1
637,2
638,1
639,2
640,1
641,2
642,5
643,2
644,5
645,2
646,3
647,2
648,3
649,5
650,3
651,5
652,3
653,5
654,3
655,5
656,2
657,5
658,2
659,3
660,2
661,3
662,2
663,1
664,2
665,0
666,2
667,0
668,2
669,0
670,3
671,2
672,3
673,2
674,0
675,2
676,3
677,0
678,3
679,0
680,2
681,3
682,2
683,0
684,3
685,2
686,3
687,2
688,0
689,2
690,0
691,3
692,0
693,3
694,2
695,4
696,0
697,2
698,4
699,0
700,2
701,4
702,0
703,2
704,4
705,0
706,2
707,0
708,2
709,0
710,2
711,0
712,2
713,4
714,2
715,0
716,4
717,0
718,4
719,2
720,4
721,0
722,2
723,4
724,2
725,1
726,2
727,1
728,2
729,1
730,4
731,1
732,4
733,2
734,4
735,2
736,4
737,2
738,4
739,2
740,1
741,2
742,1
743,4
744,1
745,4
746,1
747,3
748,6
749,3
750,6
751,3
752,3
753,3
754,3
755,6
756,3
757,6
758,3
759,6
760,3
761,6
762,3
763,6
764,3
765,3
766,3
767,3
768,3
769,4
770,3
771,1
772,3
773,1
774,3
775,1
776,3
777,1
778,3
779,3
780,3
781,3
782,3
783,3
784,3
785,3
786,1
787,3
788,1
789,3
790,1
791,3
792,1
793,4
794,1
795,4
796,1
797,4
798,2
799,4
800,2
801,1
802,2
803,1
804,2
805,1
806,2
807,1
808,4
809,1
810,4
811,2
812,4
813,2
814,4
815,4
816,4
